TROPHOSPECIES	ABBREVIATION	PHYLUM_SUBPYLUM	CLASS	ORDER	FAMILY	GROUP
ACTINIARIA_G_SP	ACT_G_SP	Cnidaria	Anthozoa	Actiniaria		2_Benthos
NEPHTHEIDAE_SP	NEP_SP	Cnidaria	Anthozoa	Alcyonacea		2_Benthos
PARALITHODES_CAMTSCHATICUS	PAR_CAM	Crustacea	Decapoda	Lithodoidea	Lithodidae	2_Benthos
DECAPODA_INDET	DEC_IND	Crustacea	Decapoda	NA	NA	2_Benthos
RHACHOTROPIS_MACROPUS	RHA_MAC	Crustacea	Malacostraca	Amphipoda	Eusiridae	2_Benthos
ARRHIS_PHYLLONYX	ARR_PHY	Crustacea	Malacostraca	Amphipoda	Gammaridae	2_Benthos
GAMMARIDAE_INDET	GAM_IND	Crustacea	Malacostraca	Amphipoda	Gammaridae	2_Benthos
PONTOPHILUS_NORVEGICUS	PON_NOR	Crustacea	Malacostraca	Decapoda	Crangonidae	2_Benthos
SABINEA_SP	SAB_SP	Crustacea	Malacostraca	Decapoda	Crangonidae	2_Benthos
SCLEROCRANGON_FEROX	SCL_FER	Crustacea	Malacostraca	Decapoda	Crangonidae	2_Benthos
GERYON_TRISPINOSUS	GER_TRI	Crustacea	Malacostraca	Decapoda	Geryonidae	2_Benthos
MUNIDA_SARSI	MUN_SAR	Crustacea	Malacostraca	Decapoda	Munididae	2_Benthos
MUNIDA_TENUIMANA	MUN_TEN	Crustacea	Malacostraca	Decapoda	Munididae	2_Benthos
CHIONOECETES_OPILIO	CHI_OPI	Crustacea	Malacostraca	Decapoda	Oregoniidae	2_Benthos
HYAS_SP	HYA_SP	Crustacea	Malacostraca	Decapoda	Oregoniidae	2_Benthos
PAGURUS_PUBESCENS	PAG_PUB	Crustacea	Malacostraca	Decapoda	Paguridae	2_Benthos
PAGURUS_SP	PAG_SP	Crustacea	Malacostraca	Decapoda	Paguridae	2_Benthos
PANDALUS_BOREALIS	PAN_BOR	Crustacea	Malacostraca	Decapoda	Pandalidae	2_Benthos
EUSERGESTES_ARCTICUS	EUS_ARC	Crustacea	Malacostraca	Decapoda	Sergestidae	2_Benthos
NYCTIPHANES_COUCHII	NYC_COU	Crustacea	Malacostraca	Euphausiacea	Euphausiidae	2_Benthos
ASELLOTA_INDET	ASE_IND	Crustacea	Malacostraca	Isopoda	NA	2_Benthos
ERYTHROPS_SP	ERY_SP	Crustacea	Malacostraca	Mysida	Mysidae	2_Benthos
BALANUS_SP	BAL_SP	Crustacea	Maxillopoda	Sessilia	Balanidae	2_Benthos
OSTRACODA_INDET	OST_IND	Crustacea	Ostracoda	NA	NA	2_Benthos
ASTERIAS_RUBENS	AST_RUB	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	2_Benthos
URASTERIAS_LINCKII	URA_LIN	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	2_Benthos
PONTASTER_TENUISPINUS	PON_TEN	Echinodermata	Asteroidea	Notomyotida	Benthopectinidae	2_Benthos
CTENODISCUS_CRISPATUS	CTE_CRI	Echinodermata	Asteroidea	Paxillosida	Ctenodiscidae	2_Benthos
CROSSASTER_PAPPOSUS	CRO_PAP	Echinodermata	Asteroidea	Valvatida	Solasteridae	2_Benthos
HELIOMETRA_GLACIALIS	HEL_GLA	Echinodermata	Crinoidea	Comatulida	Antedonidae	2_Benthos
